date,video_count,dict_sentiment_avg,sentimentr_score_avg,finbert_score_avg,ollama_score_avg,simple_sentiment_index,sentiment_std,total_views,total_likes,duration_weighted_sentiment,view_weighted_sentiment,like_weighted_sentiment,weighted_sentiment_index,simple_sentiment_7day,weighted_sentiment_7day
2022-10-26,1,-0.560606060606061,NA,NA,NA,-0.560606060606061,NA,46938,174,-0.560606060606061,-0.560606060606061,-0.560606060606061,-0.560606060606061,NA,NA
2022-10-27,1,-0.597585513078471,NA,NA,NA,-0.597585513078471,NA,29955,144,-0.597585513078471,-0.597585513078471,-0.597585513078471,-0.597585513078471,NA,NA
2022-10-28,1,-0.443478260869565,NA,NA,NA,-0.443478260869565,NA,48535,169,-0.443478260869565,-0.443478260869565,-0.443478260869565,-0.443478260869565,NA,NA
2022-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-31,1,-0.608617594254937,NA,NA,NA,-0.608617594254937,NA,36298,133,-0.608617594254937,-0.608617594254937,-0.608617594254937,-0.608617594254937,NA,NA
2022-11-01,1,-0.572815533980582,NA,NA,NA,-0.572815533980582,NA,61996,201,-0.572815533980582,-0.572815533980582,-0.572815533980582,-0.572815533980582,NA,NA
2022-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-04,1,-0.667506297229219,NA,NA,NA,-0.667506297229219,NA,74203,239,-0.667506297229219,-0.6675062972292188,-0.667506297229219,-0.667506297229219,NA,NA
2022-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-08,1,-0.468409586056645,NA,NA,NA,-0.468409586056645,NA,35060,111,-0.468409586056645,-0.468409586056645,-0.468409586056645,-0.468409586056645,NA,NA
2022-11-09,1,-0.379939209726444,NA,NA,NA,-0.379939209726444,NA,33182,135,-0.379939209726444,-0.37993920972644407,-0.379939209726444,-0.379939209726444,NA,NA
2022-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-11,1,-0.388888888888889,NA,NA,NA,-0.388888888888889,NA,93956,314,-0.388888888888889,-0.38888888888888906,-0.388888888888889,-0.388888888888889,NA,NA
2022-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
